Neighborhood,Lat,Lon
Gateway - Green Valley Ranch,39.783741,-104.758385
Montbello,39.7847,-104.8406
Central Park,39.739433,-104.988853
Hampden,39.659263,-104.896921
Five Points,39.7547222,-104.9780556
Westwood,Â 39.70403,-105.042380
Hampden South,39.6439276,-104.89800
Capitol Hill,39.7341143,-104.97977
Virginia Village,39.6898172,-104.93304
Washington Virginia Vale,39.701553,-104.912808
Windsor,39.701382,-104.885031
Mar Lee,39.6882092,-105.04112
Harvey Park,39.6759839,-105.03820
Speer,39.7183291,-104.97914
Marston,39.6331141,-105.07619
North Park Hill,39.7547664,-104.91844
Highland,39.7626405,-105.01191
Congress Park,39.7307732,-104.94764
East Colfax,39.740646,-104.894014
Lowry Field,39.7202119,-104.89222
West Colfax,39.739984,-105.039321
Sunnyside,39.776029,-105.011138
Ruby Hill,39.689531,-105.011901
University,39.6729875,-104.96517
West Highland,39.7638219,-105.04112
South Park Hill,39.7439198,-104.92428
Berkeley,39.7768011,-105.03820
Northeast Park Hill,39.7720225,-104.92136
Harvey Park South,39.6629844,-105.04112
Cheesman Park,39.7334677,-104.96441
Athmar Park,39.704361,-105.010953
Villa Park,39.732652,"-105.039550

"
Fort Logan,39.640290,-105.042230
Hale,39.7325452,-104.93045
Union Station,39.752897,-104.998866
College View - South Platte,39.6721831,-105.01921
Bear Valley,39.661564,-105.065060
Sloan Lake,39.7488758,-105.04748
University Park,39.674783,-104.949248
Hilltop,39.717369,-104.922316
Washington Park West,39.703693,-104.980756
Washington Park,39.6983969,-104.96520
North Capitol Hill,39.743686,-104.980981
University Hills,39.664896,-104.934233
Cherry Creek,39.7206887,-104.94764
Elyria Swansea,39.782008,-104.955775
Platt Park,39.685821,-104.98269
Lincoln Park,39.7337022,-105.00282
Baker,39.7148187,-104.99636
Montclair,39.7316885,-104.91281
Southmoor Park,39.6452325,-104.91698
Goldsmith,39.674100,-104.913180
Barnum,39.7192372,-105.03528
City Park West,39.7435956,-104.96517
Barnum West,39.7176933,-105.04697
Whittier,39.7587155,-104.96517
Regis,39.7874453,-105.04394
Central Business District,39.7447935,-104.99438
Cole,39.7687933,-104.96517
Clayton,39.767958,-104.949886
Belcaro,39.7047922,-104.95348
Valverde,39.7165087,-105.01775
Cory - Merrill,39.690269,-104.950038
Globeville,39.7829668,-104.99146
Indian Creek,39.686966,-104.895994
Jefferson Park,39.7528595,-105.01921
City Park,39.745897,-104.94764
Chaffee Park,39.787893,-105.012723
Skyland,39.7559774,-104.94764
Overland,39.6784827,-104.98994
Wellshire,39.662174,-104.950563
Country Club,39.724987,-104.966631
Civic Center,39.7365497,-104.98999
Rosedale,39.673123,-104.980507
Denver International Airport,39.856165,-104.676327
Auraria,39.745886,-105.008448